"","pessoa","1990","1991","1992","1993","1994_1995_1996","tipo"
"1","Butte",4275,360,846,451,"694 1411 1899","cartas"
"2","Butte",3450,540,771,250,"1211 1550 1994","telefonemas"
"3","Calaveras",10,0,0,0,"0 0 0","cartas"
"4","Calaveras",8,0,0,0,"0 0 0","telefonemas"
"5","Colusa",2358,116,79,743,"1157 937 735","cartas"
"6","Colusa",1441,19,80,456,"1223 1845 2023","telefonemas"
"7","Costa",16,0,0,0,"0 0 0","cartas"
"8","Costa",4,0,0,1,"0 0 0","telefonemas"
"9","Fresno",4987,412,534,1138,"1449 2736 2434","cartas"
"10","Fresno",1896,270,445,664,"4079 3315 4643","telefonemas"
"11","Glenn",1556,143,208,432,"928 1452 1112","cartas"
"12","Glenn",748,99,104,255,"583 2930 2626","telefonemas"
"13","Kern",2822,795,463,2178,"3364 4120 3218","cartas"
"14","Kern",1052,340,220,1119,"4433 8388 9925","telefonemas"
"15","Kings",54,0,0,25,"40 93 30","cartas"
"16","Kings",19,8,2,12,"53 241 388","telefonemas"
"17","Madera",6716,504,480,943,"1678 1833 2655","cartas"
"18","Madera",4100,207,189,343,"3485 2786 1282","telefonemas"
"19","Merced",8179,1036,1695,1048,"3176 3173 3333","cartas"
"20","Merced",4100,442,840,580,"4117 4217 2959","telefonemas"
