"","ticknumb","gender","day1","day2","day3"
"1",2111,"Male",2.64,1.35,1.61
"2",2229,"Female",0.97,1.41,0.29
"3",2338,"Male",0.84,NA,NA
"4",2384,"Female",3.03,NA,NA
"5",2401,"Female",0.88,0.08,NA
"6",2405,"Male",0.85,NA,NA
"7",2467,"Female",1.56,NA,NA
"8",2478,"Female",3.02,NA,NA
"9",2490,"Male",2.29,NA,NA
"10",2504,"Female",1.11,0.44,0.55
"11",2509,"Male",2.17,NA,NA
"12",2510,"Female",0.82,0.2,0.47
"13",2514,"Male",1.41,NA,NA
"14",2515,"Female",1.76,1.64,1.58
"15",2520,"Male",1.38,0.02,NA
"16",2521,"Female",2.79,NA,NA
"17",2529,"Male",1.5,NA,NA
"18",2533,"Female",1.91,2.05,NA
"19",2535,"Female",2.32,NA,NA
"20",2538,"Male",2.05,NA,NA
"21",2549,"Male",2.17,0.7,0.76
"22",2551,"Female",2.05,NA,NA
"23",2558,"Female",1.61,NA,NA
"24",2562,"Female",1.66,0.85,NA
"25",2565,"Female",2.3,NA,NA
"26",2566,"Female",2.76,NA,NA
"27",2568,"Female",1.44,NA,NA
"28",2586,"Female",1.06,NA,NA
"29",2601,"Male",3.23,NA,NA
"30",2602,"Male",0.97,0.38,0.76
"31",2604,"Male",2.57,0.11,0.02
"32",2606,"Female",0.26,NA,NA
"33",2609,"Female",0.47,NA,NA
"34",2611,"Female",1.73,NA,NA
"35",2612,"Male",1.94,0.82,1.67
"36",2616,"Male",1.91,NA,NA
"37",2624,"Female",2.08,0.91,0.96
"38",2633,"Female",1.91,NA,NA
"39",2642,"Female",1.42,NA,NA
"40",2644,"Male",1.5,NA,NA
"41",2662,"Female",0.11,NA,NA
"42",2663,"Male",1.67,NA,NA
"43",2664,"Male",2.08,NA,NA
"44",2669,"Female",2.05,NA,NA
"45",2670,"Male",2,NA,NA
"46",2675,"Male",1.52,NA,NA
"47",2676,"Female",1.58,NA,NA
"48",2677,"Male",1.28,0.38,0.14
"49",2681,"Male",1.88,NA,NA
"50",2685,"Female",1.32,NA,NA
"51",2686,"Female",2.09,NA,NA
"52",2687,"Male",2,NA,NA
"53",2688,"Female",2.64,NA,NA
"54",2689,"Male",0.85,0.32,0.52
"55",2692,"Female",2.47,0.23,0.38
"56",2698,"Female",1.79,NA,NA
"57",2709,"Female",1.64,NA,NA
"58",2710,"Male",1.32,NA,NA
"59",2712,"Female",2.97,NA,NA
"60",2726,"Female",1.44,0.14,NA
"61",2727,"Female",2.02,NA,NA
"62",2728,"Male",1.79,NA,NA
"63",2730,"Male",1.34,NA,NA
"64",2731,"Female",2.29,1.9,NA
"65",2732,"Female",1.66,NA,NA
"66",2734,"Female",0.6,NA,NA
"67",2735,"Female",1.76,0.76,0.29
"68",2736,"Female",1.5,NA,NA
"69",2737,"Female",2.08,0.7,NA
"70",2748,"Female",1,0.55,NA
"71",2752,"Male",1.73,NA,NA
"72",2756,"Female",1.05,0.38,NA
"73",2758,"Male",2.81,NA,NA
"74",2759,"Female",1.52,NA,NA
"75",2768,"Male",1.47,NA,NA
"76",2769,"Female",2.64,NA,NA
"77",2770,"Female",2.2,1.18,NA
"78",2771,"Male",0.55,0.79,NA
"79",2772,"Male",2.29,NA,NA
"80",2773,"Female",2,NA,NA
"81",2775,"Male",2.23,NA,NA
"82",2779,"Female",2.45,NA,NA
"83",2780,"Male",1.2,NA,NA
"84",2783,"Male",2.91,2.08,2.11
"85",2784,"Female",1.14,1,NA
"86",2788,"Male",1.88,NA,NA
"87",2789,"Male",0.94,NA,NA
"88",2791,"Female",1.85,NA,NA
"89",2794,"Female",2.58,NA,NA
"90",2796,"Female",0.61,NA,NA
"91",2799,"Male",0.7,NA,NA
"92",2806,"Male",1.38,NA,NA
"93",2807,"Female",1.94,NA,NA
"94",2811,"Female",2.29,NA,NA
"95",2812,"Male",1.59,NA,NA
"96",2813,"Female",2.46,NA,NA
"97",2814,"Female",1.67,0.14,NA
"98",2825,"Female",2.02,0.58,0.5
"99",2827,"Male",1.5,NA,NA
"100",2828,"Female",2.7,1.7,1.91
"101",2829,"Female",1.61,NA,NA
"102",2830,"Male",2.29,NA,NA
"103",2831,"Female",0.97,1.06,0.76
"104",2839,"Male",1.85,NA,NA
"105",2842,"Female",2.76,NA,NA
"106",2857,"Male",1.64,NA,NA
"107",2858,"Male",1.17,NA,NA
"108",2859,"Male",1.57,NA,NA
"109",2862,"Female",2.23,NA,NA
"110",2863,"Female",2.05,1.58,2.15
"111",2875,"Female",2.05,NA,NA
"112",2876,"Female",2.94,NA,NA
"113",2883,"Female",2.39,NA,NA
"114",2890,"Male",1.94,NA,NA
"115",2894,"Female",2.12,NA,NA
"116",2895,"Female",1.11,NA,NA
"117",2897,"Female",0.97,NA,NA
"118",2898,"Female",1.35,NA,NA
"119",2899,"Female",2.81,2.08,NA
"120",2900,"Female",2.5,NA,NA
"121",2901,"Male",1.87,NA,NA
"122",2920,"Male",1.33,NA,NA
"123",2921,"Female",1.26,NA,NA
"124",2922,"Female",1.44,NA,NA
"125",2923,"Male",0.55,NA,NA
"126",2924,"Female",1.75,NA,NA
"127",2925,"Female",2.08,NA,NA
"128",2932,"Male",0.85,NA,NA
"129",2933,"Female",2.52,NA,NA
"130",2935,"Female",3,NA,NA
"131",2936,"Female",1.41,NA,NA
"132",2937,"Female",1.08,NA,NA
"133",2938,"Male",1.2,1.38,1.5
"134",2940,"Male",1.94,1.44,NA
"135",2941,"Female",2.26,1.73,1.73
"136",2942,"Male",1.41,NA,NA
"137",2948,"Female",2.5,NA,NA
"138",2952,"Male",2.17,NA,NA
"139",2953,"Male",1.82,1.11,NA
"140",2954,"Female",1.44,1.14,NA
"141",2956,"Female",1.66,NA,NA
"142",2957,"Male",1.82,NA,NA
"143",2958,"Male",1.26,NA,NA
"144",2959,"Female",2.67,NA,NA
"145",2961,"Female",1.47,NA,NA
"146",2962,"Female",1.84,NA,NA
"147",2964,"Female",2.58,NA,NA
"148",2966,"Male",1.73,NA,NA
"149",2967,"Male",1.23,NA,NA
"150",2968,"Male",2.32,NA,NA
"151",2972,"Female",2.67,NA,NA
"152",2974,"Female",1.02,NA,NA
"153",2975,"Female",1.66,2.12,2.7
"154",2976,"Female",1.88,NA,NA
"155",2977,"Female",1.91,NA,NA
"156",2978,"Female",1.64,NA,NA
